曲目ID,中文名称,EnglishTitle,专辑名称,曲目序号,音频文件名,身份定位,神学主题,属灵气质,传统用途,适合文章类型,不适合文章类型,一句话总评,来源链接,来源说明
A1-01,永恒的颂赞,Timeless Tribute,主是磐石 Unshakable Faith,1,,赞美与敬拜导向的福音圣乐，功能是把听者带向对神永恒荣耀的颂赞。,神的荣耀；永恒颂赞；救恩感恩；敬拜回应,明亮；庄重；颂赞；开阔,主日赞美；感恩回应；敬拜性文章；以神荣耀作结的灵修,文章最终落点是赞美神的荣耀、数算恩典、从信仰反思转向敬拜回应。,主要气质是悔改忧伤、受难默想、病痛安慰或低声等候的文章。,适合承托从灵修反思走向敬拜颂赞的文章，不适合作为沉重悔改或苦难安慰的底色。,https://hymnary.org/search?qu=Timeless%20Tribute | https://songselect.ccli.com/search/results?List=Timeless%20Tribute,未确认到标准公版圣诗条目；按专辑曲名和赞美主题初步判断，需用出版方/曲库文件名复核。
A1-02,圣灵之歌,Spirit Song,主是磐石 Unshakable Faith,2,,圣灵更新与奉献回应类圣诗，带有祷告、更新和顺服的灵修传统。,圣灵工作；生命更新；成圣；顺服献上,恳切；柔和；等候；内在更新,祷告会；培灵会；成圣主题；复兴与更新信息,文章强调圣灵光照、内在更新、顺服神引导、从属灵迟钝转向被主更新。,主要落点是圣诞、主餐、追思安慰、复活得胜或宣教动员的文章。,这首曲子的核心不是情绪安抚，而是求圣灵更新生命并带出顺服。,https://hymnary.org/search?qu=Spirit%20Song | https://songselect.ccli.com/search/results?List=Spirit%20Song,现代敬拜曲来源以 CCLI/SongSelect 与 Hymnary 检索复核；神学判断按圣灵更新与奉献回应主题。
A1-03,我曾舍命为你,I Gave My Life for Thee,主是磐石 Unshakable Faith,3,,十字架奉献回应诗，核心是基督舍命与信徒回应主爱。,十字架救恩；基督代赎；主爱激励；奉献回应,深沉；敬畏；感恩；委身,受难周；主餐前后；十字架信息；奉献回应,文章落点是基督为人舍命、主爱激励人悔改和奉献、以十字架呼召信徒回应。,主要是轻快赞美、一般生活感恩、圣诞叙事或宣教凯歌的文章。,这是一首由基督舍命之爱引向信徒奉献回应的十字架圣诗。,https://hymnary.org/search?qu=I%20Gave%20My%20Life%20for%20Thee | https://hymntime.com/tch/htm/i/g/a/v/igavemyl.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal 条目；Frances R. Havergal 十字架奉献回应诗。
A1-04,主你真美好,"O Lord, You're Beautiful",主是磐石 Unshakable Faith,4,,敬拜与爱主回应类现代圣诗，聚焦基督荣美与个人亲近主。,基督荣美；爱主；敬拜；内在更新,亲密；温柔；敬拜；安静,灵修默想；敬拜回应；爱主主题；个人奉献,文章强调看见主的荣美、被主吸引、从忙乱或冷淡中回到爱主与敬拜。,主要落点是教义争辩、属灵争战、严肃警戒、主餐礼仪或宣教差派的文章。,适合表达被基督荣美吸引后的安静敬拜和爱主回应。,https://hymnary.org/search?qu=O%20Lord%2C%20You%27re%20Beautiful | https://songselect.ccli.com/search/results?List=O%20Lord%2C%20You%27re%20Beautiful,现代敬拜曲来源以 CCLI/SongSelect 与 Hymnary 检索复核；通常与 Keith Green 的敬拜传统相关。
A1-05,真神之爱,Wondrous Love,主是磐石 Unshakable Faith,5,,神爱与救赎默想圣诗，强调神在基督里奇妙、主动、牺牲的爱。,神的爱；基督救赎；恩典；敬拜回应,温暖；深情；感恩；敬畏,救恩默想；福音信息；主日回应；感恩见证,文章中心是神主动的爱、基督救赎、罪人蒙恩，结尾带向感恩和敬拜。,主要落点是强烈警戒、公开争战、宣教动员或礼仪性主餐默想的文章。,这首曲子适合把读者从认识救恩带向对神爱与恩典的敬拜。,https://hymnary.org/search?qu=What%20Wondrous%20Love%20Is%20This | https://hymntime.com/tch/htm/w/h/a/t/wondlove.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；通常对应 What Wondrous Love Is This，救赎与神爱主题。
A1-06,向耶稣倾听,I Must Tell Jesus,主是磐石 Unshakable Faith,6,,祷告与交托类福音圣诗，强调把忧虑、试探和重担带到耶稣面前。,祷告；交托重担；倚靠基督；主内安慰,恳切；亲近；牧养；安慰,祷告会；个人灵修；患难交托；牧养安慰,文章引导读者在忧虑、试探、孤单或重担中转向基督、向主倾心吐意。,主要落点是复活凯歌、宣教差派、庄严审判或节期庆典的文章。,核心功能是把人的重担带到耶稣面前，而不是泛泛营造安静气氛。,https://hymnary.org/search?qu=I%20Must%20Tell%20Jesus | https://hymntime.com/tch/htm/i/m/u/s/imustell.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Elisha A. Hoffman 祷告交托类福音圣诗。
A1-07,我时刻需要你,I Need Thee Every Hour,主是磐石 Unshakable Faith,7,,倚靠与祷告回应圣诗，表达信徒每时每刻需要主的扶持。,倚靠主；祷告；成圣；软弱中蒙恩,谦卑；恳切；安静；单纯信靠,祷告回应；灵修默想；软弱扶持；成圣操练,文章强调人的软弱有限、不可自恃，需要持续倚靠主的恩典和同在。,主要落点是宏大宣教、得胜凯歌、圣诞庆典或主餐礼仪的文章。,这首曲子适合承托从自恃转向时时倚靠主的灵修文章。,https://hymnary.org/search?qu=I%20Need%20Thee%20Every%20Hour | https://hymntime.com/tch/htm/i/n/e/e/ineedteh.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Annie S. Hawks / Robert Lowry 倚靠祷告圣诗。
A1-08,我心灵得安宁,"Be Still, My Soul",主是磐石 Unshakable Faith,8,,患难中信靠神护理的安慰圣诗，呼召灵魂在神里面安静。,神的护理；信靠等候；患难安慰；终末盼望,安静；深沉；忍耐；盼望,苦难安慰；追思或病中探访；等候主题；信靠神护理的信息,文章从忧患、失落、等待或不明白中带读者转向神的掌权和信实。,主要是轻快赞美、福音呼召、宣教动员或急切行动号召的文章。,这是一首让受扰动的心在神护理和终末盼望中安静下来的圣诗。,https://hymnary.org/search?qu=Be%20Still%2C%20My%20Soul | https://hymntime.com/tch/htm/b/e/s/t/bestill.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Katharina von Schlegel 文本、FINLANDIA 曲调传统。
A1-09,亲爱主，牵我手,In His Hand,主是磐石 Unshakable Faith,9,,软弱与人生幽谷中的引导安慰诗，强调主亲手牵引。,主的引导；患难同行；软弱扶持；信靠交托,温柔；哀而有望；亲近；受安慰,病痛安慰；丧亲或低谷陪伴；老年关怀；个人交托,文章强调软弱、眼泪、前路不明中需要主牵手带领。,主要落点是欢乐赞美、神学论证、宣教争战或圣洁警戒的文章。,适合给低谷中的信徒以主同在和牵引的安慰。,https://hymnary.org/search?qu=Precious%20Lord%2C%20Take%20My%20Hand | https://songselect.ccli.com/search/results?List=Precious%20Lord%2C%20Take%20My%20Hand,"中文名疑似对应 Precious Lord, Take My Hand；需用实际曲库文件名确认英文题名。"
A1-10,归家,Softly and Tenderly,主是磐石 Unshakable Faith,10,,福音呼召圣诗，突出救主温柔呼唤罪人归家。,悔改归主；福音呼召；救主怜悯；回转,温柔；恳切；呼召；悔改,布道会回应；悔改祷告；归主见证；福音文章结尾,文章最终落点是呼召人离开罪、归向基督、回应救主怜悯。,主要是给成熟信徒的成圣反思、普通安慰、圣诞节期或宣教差派文章。,这首曲子适合明确福音呼召，不适合只作一般温柔背景乐。,https://hymnary.org/search?qu=Softly%20and%20Tenderly | https://hymntime.com/tch/htm/s/o/f/t/softlyat.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Will L. Thompson 福音呼召诗。
